rose
<(0, 0, 1, 0) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 2  8 <- ((0, 1, 2), (0, 1, 2)) [25 %]>
<(1, 1, 2) |   pink | 3 14 <- ((0, 2, 1), (1, 0, 1)) [12.5 %]>
<(2, 0, 1) |    red | 4 18 <- ((2, 0, 0), (1, 1, 2)) [25 %]>
<(1, 2, 2) | orange | 4 22 <- ((1, 1, 2), (1, 1, 2)) [12.5 %]>
<(2, 2, 2) |    red | 5 26 <- ((1, 2, 2), (1, 2, 2)) [25 %]>
<(2, 1, 1) | orange | 6 27 <- ((2, 0, 0), (2, 2, 2)) [100 %]>
<  Generic |  black | 3 27 <- ((1, 1, 1), (1, 1, 1)) [4.7 %]>
<(2, 1, 2) |    red | 5 36 <- ((1, 0, 1), (1, 2, 2)) [12.5 %]>
<(2, 2, 1) |  black | 6 40 <- ((1, 1, 1), (2, 2, 2)) [12.5 %]>
*****
lilly
<(0, 0, 2) |  white | 0  0 <- Seed>
<(0, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 1) |    red | 0  0 <- Seed>
<(0, 1, 1) |  white | 1  1 <- ((0, 0, 2), (0, 2, 0)) [100 %]>
<(1, 0, 2) |  white | 1  2 <- ((0, 0, 2), (2, 0, 1)) [50 %]>
<(1, 0, 1) |   pink | 1  2 <- ((0, 0, 2), (2, 0, 1)) [50 %]>
<(1, 1, 0) | orange | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<(1, 1, 1) | yellow | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<  Generic |  white | 2  2 <- ((0, 0, 2), (0, 1, 1)) [100 %]>
<  Generic | yellow | 2  2 <- ((0, 2, 0), (0, 1, 1)) [75 %]>
<(2, 0, 0) |  black | 1  4 <- ((2, 0, 1), (2, 0, 1)) [25 %]>
<(2, 0, 2) |   pink | 1  4 <- ((2, 0, 1), (2, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((0, 2, 0), (1, 1, 0)) [50 %]>
<  Generic |   pink | 2  4 <- ((2, 0, 1), (1, 0, 2)) [50 %]>
<  Generic |    red | 2  4 <- ((2, 0, 1), (1, 0, 1)) [37.5 %]>
<  Generic |  black | 2  6 <- ((2, 0, 1), (1, 1, 0)) [25 %]>
<(1, 0, 0) |    red | 2  9 <- ((2, 0, 1), (0, 1, 1)) [12.5 %]>
<(0, 1, 0) | yellow | 3 11 <- ((0, 2, 0), (1, 0, 0)) [50 %]>
<(0, 0, 1) |  white | 3 11 <- ((0, 0, 2), (1, 0, 0)) [50 %]>
<(0, 0, 0) |  white | 3 13 <- ((1, 0, 0), (1, 0, 0)) [25 %]>
<(2, 1, 0) |  black | 2 14 <- ((1, 1, 0), (1, 1, 0)) [alt:(2, 0, 0) breed with (0, 0, 2) for {yellow}] [12.5 %]>
<(2, 1, 1) |    red | 2 18 <- ((1, 1, 0), (2, 0, 2)) [alt:(2, 0, 1) breed with (0, 0, 2) for {yellow}] [25 %]>
<(2, 2, 0) | orange | 3 18 <- ((2, 1, 0), (2, 1, 0)) [25 %]>
<(1, 2, 0) | orange | 4 19 <- ((0, 2, 0), (2, 2, 0)) [100 %]>
<(2, 1, 2) |   pink | 3 30 <- ((2, 1, 1), (2, 1, 1)) [alt:(2, 0, 2) breed with (0, 0, 2) for {yellow}] [12.5 %]>
<(2, 2, 1) | orange | 3 30 <- ((2, 1, 1), (2, 1, 1)) [alt:(2, 2, 0) breed with (0, 2, 0) for {yellow}] [12.5 %]>
<(1, 1, 2) | yellow | 4 32 <- ((0, 0, 2), (2, 1, 2)) [50 %]>
<(1, 2, 1) | yellow | 4 32 <- ((0, 2, 0), (2, 2, 1)) [50 %]>
<(2, 2, 2) |  white | 3 34 <- ((2, 1, 1), (2, 1, 1)) [6.2 %]>
<(0, 2, 2) |  white | 5 49 <- ((1, 2, 1), (1, 2, 1)) [alt:(2, 2, 2) breed with (0, 0, 2) for {white}not {white}] [6.2 %]>
<(0, 1, 2) |  white | 6 50 <- ((0, 0, 2), (0, 2, 2)) [100 %]>
<(0, 2, 1) | yellow | 6 50 <- ((0, 2, 0), (0, 2, 2)) [100 %]>
<(1, 2, 2) | yellow | 6 84 <- ((2, 2, 2), (0, 2, 2)) [100 %]>
*****
pansy
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |    red | 1  1 <- ((0, 0, 1), (2, 0, 2)) [100 %]>
<(1, 1, 2) | orange | 1  1 <- ((0, 2, 2), (2, 0, 2)) [100 %]>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(0, 0, 0) |   blue | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((1, 1, 2), (1, 1, 2)) [31.2 %]>
<(0, 1, 1) | yellow | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(1, 0, 1) |    red | 2  5 <- ((2, 0, 2), (0, 0, 0)) [100 %]>
<  Generic |   blue | 3  9 <- ((0, 0, 1), (0, 1, 1)) [25 %]>
<(1, 1, 1) | orange | 2  9 <- ((0, 0, 0), (1, 1, 2)) [25 %]>
<(0, 0, 2) |  white | 2 17 <- ((1, 1, 2), (1, 1, 2)) [6.2 %]>
<(0, 1, 0) |   blue | 3 17 <- ((0, 1, 1), (0, 1, 1)) [alt:(0, 0, 0) breed with (2, 0, 2) for {orange}] [12.5 %]>
<(1, 0, 0) |   blue | 3 17 <- ((1, 0, 1), (1, 0, 1)) [alt:(0, 0, 0) breed with (0, 2, 2) for {orange}] [12.5 %]>
<(0, 1, 2) | yellow | 3 18 <- ((0, 2, 2), (0, 0, 2)) [100 %]>
<(1, 0, 2) |    red | 3 18 <- ((2, 0, 2), (0, 0, 2)) [100 %]>
<(2, 0, 0) | purple | 3 21 <- ((1, 0, 1), (1, 0, 1)) [6.2 %]>
<(0, 2, 0) | yellow | 4 21 <- ((0, 1, 0), (0, 1, 0)) [25 %]>
<(2, 0, 1) |    red | 4 22 <- ((2, 0, 2), (2, 0, 0)) [100 %]>
<(0, 2, 1) | yellow | 5 22 <- ((0, 2, 2), (0, 2, 0)) [100 %]>
<  Generic | purple | 3 25 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
<(1, 1, 0) | orange | 4 39 <- ((0, 1, 0), (1, 0, 0)) [25 %]>
<(2, 1, 0) | purple | 4 46 <- ((1, 1, 1), (2, 0, 0)) [alt:(2, 0, 0) breed with (0, 0, 1) for {orange}] [12.5 %]>
<(1, 2, 1) | yellow | 5 48 <- ((0, 2, 2), (2, 1, 0)) [50 %]>
<(1, 2, 0) | yellow | 5 51 <- ((1, 1, 0), (1, 1, 0)) [alt:(0, 2, 0) breed with (0, 0, 1) for {orange}] [12.5 %]>
<(2, 1, 1) |    red | 6 53 <- ((2, 0, 2), (1, 2, 0)) [50 %]>
<(2, 2, 0) | purple | 6 55 <- ((1, 2, 0), (1, 2, 0)) [25 %]>
<(2, 2, 1) | orange | 6 107 <- ((1, 2, 1), (1, 2, 0)) [12.5 %]>
*****
hyacinth
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 0  0 <- Seed>
<(2, 0, 1) |    red | 0  0 <- Seed>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |    red | 1  1 <- ((2, 0, 1), (2, 0, 1)) [100 %]>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(1, 0, 1) |   pink | 1  2 <- ((0, 0, 1), (2, 0, 1)) [50 %]>
<(1, 1, 2) | orange | 1  2 <- ((0, 2, 2), (2, 0, 1)) [50 %]>
<(1, 1, 1) | yellow | 1  2 <- ((0, 2, 2), (2, 0, 1)) [50 %]>
<(0, 0, 0) |   blue | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<(1, 0, 0) |  white | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<(1, 0, 2) |    red | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((0, 2, 2), (1, 1, 2)) [50 %]>
<(0, 1, 1) | yellow | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(0, 1, 2) | yellow | 2  6 <- ((0, 2, 2), (1, 0, 2)) [50 %]>
<(2, 0, 0) |    red | 2  8 <- ((1, 0, 0), (1, 0, 0)) [25 %]>
<(0, 0, 2) |  white | 2  8 <- ((1, 0, 2), (1, 0, 2)) [25 %]>
<(2, 1, 2) |   blue | 2 10 <- ((2, 0, 1), (1, 1, 2)) [12.5 %]>
<(2, 2, 2) | purple | 3 14 <- ((2, 1, 2), (2, 1, 2)) [25 %]>
<(2, 0, 2) |    red | 3 14 <- ((2, 1, 2), (2, 1, 2)) [25 %]>
<(1, 2, 2) | orange | 4 15 <- ((0, 2, 2), (2, 2, 2)) [100 %]>
<(2, 1, 1) |    red | 4 16 <- ((2, 0, 1), (2, 2, 2)) [50 %]>
<(0, 1, 0) |  white | 3 16 <- ((0, 0, 0), (0, 1, 1)) [alt:(0, 0, 1) breed with (2, 0, 1) for {yellow}not {yellow}] [25 %]>
<  Generic | purple | 2 18 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
<  Generic |   blue | 2 20 <- ((1, 0, 1), (1, 1, 1)) [6.2 %]>
<(0, 2, 0) | yellow | 4 20 <- ((0, 1, 0), (0, 1, 0)) [25 %]>
<(0, 2, 1) | yellow | 5 21 <- ((0, 2, 2), (0, 2, 0)) [100 %]>
<(1, 1, 0) | yellow | 4 24 <- ((1, 0, 0), (0, 1, 0)) [25 %]>
<(2, 2, 1) | purple | 4 32 <- ((1, 1, 1), (2, 2, 2)) [alt:(2, 2, 2) breed with (0, 2, 2) for {yellow}] [12.5 %]>
<(1, 2, 1) | yellow | 5 34 <- ((0, 2, 2), (2, 2, 1)) [50 %]>
<(2, 1, 0) |    red | 5 37 <- ((1, 1, 0), (1, 1, 0)) [alt:(2, 0, 0) breed with (0, 0, 1) for {yellow}] [12.5 %]>
<(2, 2, 0) | purple | 5 40 <- ((1, 1, 0), (1, 1, 0)) [6.2 %]>
<(1, 2, 0) | yellow | 6 62 <- ((0, 2, 0), (2, 2, 0)) [100 %]>
*****
tulip
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 1) |    red | 0  0 <- Seed>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [100 %]>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 0)) [100 %]>
<  Generic |    red | 1  1 <- ((2, 0, 1), (2, 0, 1)) [75 %]>
<(1, 0, 1) |   pink | 1  2 <- ((0, 0, 1), (2, 0, 1)) [50 %]>
<(1, 1, 0) | orange | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<(1, 1, 1) | yellow | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<(1, 0, 0) |    red | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<(1, 0, 2) |  white | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<(2, 0, 0) |  black | 1  4 <- ((2, 0, 1), (2, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((0, 2, 0), (1, 1, 0)) [50 %]>
<(0, 1, 0) | yellow | 2  6 <- ((0, 2, 0), (1, 0, 0)) [50 %]>
<  Generic |  black | 2  6 <- ((2, 0, 1), (1, 1, 0)) [25 %]>
<(0, 0, 0) |  white | 2  8 <- ((1, 0, 0), (1, 0, 0)) [25 %]>
<(2, 0, 2) |    red | 2  8 <- ((1, 0, 2), (1, 0, 2)) [25 %]>
<(2, 1, 0) |  black | 2 14 <- ((1, 1, 0), (1, 1, 0)) [alt:(2, 0, 0) breed with (0, 0, 1) for {yellow,orange}] [12.5 %]>
<(2, 2, 0) | purple | 2 18 <- ((1, 1, 0), (1, 1, 0)) [6.2 %]>
<  Generic | purple | 2 18 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
<(1, 2, 0) | orange | 3 19 <- ((0, 2, 0), (2, 2, 0)) [100 %]>
<(2, 1, 1) |    red | 3 20 <- ((2, 0, 1), (2, 2, 0)) [50 %]>
<(0, 1, 1) | yellow | 1 34 <- ((0, 0, 1), (0, 2, 0)) [alt:(0, 1, 0) breed with (2, 0, 1) for {white}] [50 %]>
<(2, 2, 1) | purple | 3 36 <- ((1, 1, 1), (2, 2, 0)) [alt:(2, 2, 0) breed with (0, 2, 0) for {yellow}] [12.5 %]>
<(1, 2, 1) | yellow | 4 38 <- ((0, 2, 0), (2, 2, 1)) [50 %]>
<(0, 1, 2) |  white | 5 46 <- ((0, 0, 1), (1, 2, 1)) [12.5 %]>
<(0, 2, 2) | yellow | 6 50 <- ((0, 1, 2), (0, 1, 2)) [25 %]>
<(0, 2, 1) | yellow | 7 51 <- ((0, 2, 0), (0, 2, 2)) [100 %]>
<(1, 1, 2) | yellow | 6 54 <- ((1, 0, 2), (0, 1, 2)) [25 %]>
<(2, 1, 2) |    red | 7 66 <- ((1, 1, 2), (1, 1, 2)) [alt:(2, 0, 2) breed with (0, 0, 1) for {yellow}] [12.5 %]>
<(2, 2, 2) | purple | 7 70 <- ((1, 1, 2), (1, 1, 2)) [6.2 %]>
<(1, 2, 2) | yellow | 8 121 <- ((0, 2, 2), (2, 2, 2)) [100 %]>
*****
mum
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |   pink | 1  1 <- ((0, 0, 1), (2, 0, 2)) [100 %]>
<(1, 1, 2) | yellow | 1  1 <- ((0, 2, 2), (2, 0, 2)) [100 %]>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(0, 0, 0) | purple | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<(0, 1, 1) | yellow | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(1, 0, 1) |   pink | 2  5 <- ((2, 0, 2), (0, 0, 0)) [100 %]>
<(1, 2, 2) | purple | 2  5 <- ((0, 2, 2), (1, 1, 2)) [25 %]>
<(2, 1, 2) | purple | 2  5 <- ((2, 0, 2), (1, 1, 2)) [25 %]>
<(1, 0, 2) |   pink | 2  5 <- ((2, 0, 2), (1, 1, 2)) [25 %]>
<  Generic | purple | 2  5 <- ((1, 1, 2), (1, 1, 2)) [25 %]>
<  Generic |    red | 3  7 <- ((2, 0, 2), (1, 0, 1)) [50 %]>
<(1, 1, 1) |    red | 2  9 <- ((0, 0, 1), (1, 1, 2)) [12.5 %]>
<(0, 0, 2) |  white | 3  9 <- ((1, 0, 2), (1, 0, 2)) [25 %]>
<(2, 2, 2) |  green | 3  9 <- ((1, 2, 2), (1, 2, 2)) [25 %]>
<(0, 1, 2) | yellow | 4 10 <- ((0, 2, 2), (0, 0, 2)) [100 %]>
<(2, 0, 1) |    red | 3 17 <- ((2, 0, 2), (1, 0, 1)) [alt:(2, 0, 2) breed with (0, 2, 2) for {red}] [25 %]>
<(0, 1, 0) |  white | 3 21 <- ((0, 0, 0), (0, 1, 1)) [alt:(0, 0, 1) breed with (2, 0, 2) for {red}] [25 %]>
<  Generic |  green | 3 22 <- ((1, 1, 1), (1, 2, 2)) [12.5 %]>
<(0, 2, 0) | yellow | 4 25 <- ((0, 1, 0), (0, 1, 0)) [25 %]>
<(0, 2, 1) | yellow | 5 26 <- ((0, 2, 2), (0, 2, 0)) [100 %]>
<(1, 2, 1) | purple | 4 30 <- ((1, 1, 2), (0, 1, 0)) [12.5 %]>
<(2, 1, 1) | purple | 3 33 <- ((2, 0, 2), (1, 1, 1)) [alt:(2, 1, 2) breed with (0, 2, 2) for {red}] [12.5 %]>
<(1, 1, 0) |   pink | 5 34 <- ((1, 0, 1), (0, 2, 0)) [25 %]>
<(2, 2, 1) |  green | 4 42 <- ((1, 1, 1), (2, 2, 2)) [alt:(2, 2, 2) breed with (0, 0, 1) for {pink}] [12.5 %]>
<(1, 2, 0) | purple | 6 43 <- ((1, 1, 0), (1, 1, 0)) [alt:(0, 0, 0) breed with (2, 0, 2) for {purple,red}not {purple,red}] [12.5 %]>
<(2, 2, 0) |    red | 5 46 <- ((1, 2, 1), (1, 2, 1)) [6.2 %]>
<(2, 1, 0) |    red | 5 63 <- ((2, 0, 1), (2, 2, 1)) [25 %]>
*****
windflower
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | orange | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | orange | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |    red | 1  1 <- ((0, 0, 1), (2, 0, 2)) [100 %]>
<(1, 1, 2) |   pink | 1  1 <- ((0, 2, 2), (2, 0, 2)) [100 %]>
