rose
<(0, 0, 1, 0) |  white | 0  0 <- Seed>
<(2, 0, 2) |   pink | 1  4 <- ((2, 0, 1), (2, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((0, 2, 0), (1, 1, 0)) [50 %]>
<  Generic |   pink | 2  4 <- ((2, 0, 1), (1, 0, 2)) [50 %]>
<  Generic |    red | 2  4 <- ((2, 0, 1), (1, 0, 1)) [37.5 %]>
<  Generic |  black | 2  6 <- ((2, 0, 1), (1, 1, 0)) [25 %]>
<(1, 0, 0) |    red | 2  9 <- ((2, 0, 1), (0, 1, 1)) [12.5 %]>
<(0, 0, 1) |  white | 3 11 <- ((0, 0, 2), (1, 0, 0)) [50 %]>
<(0, 1, 0) | yellow | 3 11 <- ((0, 2, 0), (1, 0, 0)) [50 %]>
<(0, 0, 0) |  white | 3 13 <- ((1, 0, 0), (1, 0, 0)) [25 %]>
*****
pansy
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |    red | 1  1 <- ((0, 0, 1), (2, 0, 2)) [100 %]>
<(1, 1, 2) | orange | 1  1 <- ((0, 2, 2), (2, 0, 2)) [100 %]>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(0, 0, 0) |   blue | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((1, 1, 2), (1, 1, 2)) [31.2 %]>
<(0, 1, 1) | yellow | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(1, 0, 1) |    red | 2  5 <- ((2, 0, 2), (0, 0, 0)) [100 %]>
<(1, 1, 1) | orange | 2  9 <- ((0, 0, 0), (1, 1, 2)) [25 %]>
<  Generic |   blue | 3  9 <- ((0, 0, 1), (0, 1, 1)) [25 %]>
<(0, 0, 2) |  white | 2 17 <- ((1, 1, 2), (1, 1, 2)) [6.2 %]>
<(0, 1, 2) | yellow | 3 18 <- ((0, 2, 2), (0, 0, 2)) [100 %]>
<(1, 0, 2) |    red | 3 18 <- ((2, 0, 2), (0, 0, 2)) [100 %]>
<(2, 0, 0) | purple | 3 21 <- ((1, 0, 1), (1, 0, 1)) [6.2 %]>
<(2, 0, 1) |    red | 4 22 <- ((2, 0, 2), (2, 0, 0)) [100 %]>
<(1, 0, 0) |   blue | 4 23 <- ((0, 0, 1), (2, 0, 0)) [50 %]>
<  Generic | purple | 3 25 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
*****
hyacinth
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 0  0 <- Seed>
<(2, 0, 1) |    red | 0  0 <- Seed>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |    red | 1  1 <- ((2, 0, 1), (2, 0, 1)) [100 %]>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(1, 0, 1) |   pink | 1  2 <- ((0, 0, 1), (2, 0, 1)) [50 %]>
<(1, 1, 2) | orange | 1  2 <- ((0, 2, 2), (2, 0, 1)) [50 %]>
<(1, 1, 1) | yellow | 1  2 <- ((0, 2, 2), (2, 0, 1)) [50 %]>
<(0, 0, 0) |   blue | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<(1, 0, 0) |  white | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<(1, 0, 2) |    red | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((0, 2, 2), (1, 1, 2)) [50 %]>
<(0, 1, 1) | yellow | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(0, 1, 2) | yellow | 2  6 <- ((0, 2, 2), (1, 0, 2)) [50 %]>
<(2, 0, 0) |    red | 2  8 <- ((1, 0, 0), (1, 0, 0)) [25 %]>
<(0, 0, 2) |  white | 2  8 <- ((1, 0, 2), (1, 0, 2)) [25 %]>
<(2, 1, 2) |   blue | 2 10 <- ((2, 0, 1), (1, 1, 2)) [12.5 %]>
<(2, 2, 2) | purple | 3 14 <- ((2, 1, 2), (2, 1, 2)) [25 %]>
<(2, 0, 2) |    red | 3 14 <- ((2, 1, 2), (2, 1, 2)) [25 %]>
<(1, 2, 2) | orange | 4 15 <- ((0, 2, 2), (2, 2, 2)) [100 %]>
<(2, 1, 1) |    red | 4 16 <- ((2, 0, 1), (2, 2, 2)) [50 %]>
<  Generic | purple | 2 18 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
<  Generic |   blue | 2 20 <- ((1, 0, 1), (1, 1, 1)) [6.2 %]>
*****
tulip
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 1) |    red | 0  0 <- Seed>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [100 %]>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 0)) [100 %]>
<  Generic |    red | 1  1 <- ((2, 0, 1), (2, 0, 1)) [75 %]>
<(1, 0, 1) |   pink | 1  2 <- ((0, 0, 1), (2, 0, 1)) [50 %]>
<(1, 1, 0) | orange | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<(1, 1, 1) | yellow | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<(1, 0, 0) |    red | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<(1, 0, 2) |  white | 1  4 <- ((0, 0, 1), (2, 0, 1)) [25 %]>
<(2, 0, 0) |  black | 1  4 <- ((2, 0, 1), (2, 0, 1)) [25 %]>
<  Generic | orange | 2  4 <- ((0, 2, 0), (1, 1, 0)) [50 %]>
<(0, 1, 0) | yellow | 2  6 <- ((0, 2, 0), (1, 0, 0)) [50 %]>
<  Generic |  black | 2  6 <- ((2, 0, 1), (1, 1, 0)) [25 %]>
<(0, 0, 0) |  white | 2  8 <- ((1, 0, 0), (1, 0, 0)) [25 %]>
<(2, 0, 2) |    red | 2  8 <- ((1, 0, 2), (1, 0, 2)) [25 %]>
<(2, 2, 0) | purple | 2 18 <- ((1, 1, 0), (1, 1, 0)) [6.2 %]>
<  Generic | purple | 2 18 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
<(1, 2, 0) | orange | 3 19 <- ((0, 2, 0), (2, 2, 0)) [100 %]>
<(2, 1, 1) |    red | 3 20 <- ((2, 0, 1), (2, 2, 0)) [50 %]>
<(2, 1, 0) |  black | 3 20 <- ((2, 0, 1), (2, 2, 0)) [50 %]>
*****
mum
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | yellow | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | yellow | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |   pink | 1  1 <- ((0, 0, 1), (2, 0, 2)) [100 %]>
<(1, 1, 2) | yellow | 1  1 <- ((0, 2, 2), (2, 0, 2)) [100 %]>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(0, 0, 0) | purple | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<(0, 1, 1) | yellow | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(1, 2, 2) | purple | 2  5 <- ((0, 2, 2), (1, 1, 2)) [25 %]>
<(1, 0, 1) |   pink | 2  5 <- ((2, 0, 2), (0, 0, 0)) [100 %]>
<(2, 1, 2) | purple | 2  5 <- ((2, 0, 2), (1, 1, 2)) [25 %]>
<(1, 0, 2) |   pink | 2  5 <- ((2, 0, 2), (1, 1, 2)) [25 %]>
<  Generic | purple | 2  5 <- ((1, 1, 2), (1, 1, 2)) [25 %]>
<  Generic |    red | 3  7 <- ((2, 0, 2), (1, 0, 1)) [50 %]>
<(1, 1, 1) |    red | 2  9 <- ((0, 0, 1), (1, 1, 2)) [12.5 %]>
<(0, 0, 2) |  white | 3  9 <- ((1, 0, 2), (1, 0, 2)) [25 %]>
<(2, 2, 2) |  green | 3  9 <- ((1, 2, 2), (1, 2, 2)) [25 %]>
<(0, 1, 2) | yellow | 4 10 <- ((0, 2, 2), (0, 0, 2)) [100 %]>
<  Generic |  green | 3 22 <- ((1, 1, 1), (1, 2, 2)) [12.5 %]>
*****
windflower
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 2) | orange | 0  0 <- Seed>
<(2, 0, 2) |    red | 0  0 <- Seed>
<  Generic | orange | 1  1 <- ((0, 0, 1), (0, 2, 2)) [100 %]>
<  Generic |    red | 1  1 <- ((0, 0, 1), (2, 0, 2)) [100 %]>
<(1, 1, 2) |   pink | 1  1 <- ((0, 2, 2), (2, 0, 2)) [100 %]>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [75 %]>
<(0, 0, 0) |   blue | 1  4 <- ((0, 0, 1), (0, 0, 1)) [25 %]>
<  Generic |   pink | 2  4 <- ((1, 1, 2), (1, 1, 2)) [31.2 %]>
<(0, 1, 1) | orange | 2  5 <- ((0, 2, 2), (0, 0, 0)) [100 %]>
<(1, 0, 1) |    red | 2  5 <- ((2, 0, 2), (0, 0, 0)) [100 %]>
<(1, 1, 1) |   pink | 2  9 <- ((0, 0, 0), (1, 1, 2)) [25 %]>
<  Generic |   blue | 3  9 <- ((0, 0, 1), (0, 1, 1)) [25 %]>
<(0, 0, 2) |  white | 2 17 <- ((1, 1, 2), (1, 1, 2)) [6.2 %]>
<(0, 1, 2) | orange | 3 18 <- ((0, 2, 2), (0, 0, 2)) [100 %]>
<(1, 0, 2) |    red | 3 18 <- ((2, 0, 2), (0, 0, 2)) [100 %]>
<(2, 0, 0) | purple | 3 21 <- ((1, 0, 1), (1, 0, 1)) [6.2 %]>
<(2, 0, 1) |    red | 4 22 <- ((2, 0, 2), (2, 0, 0)) [100 %]>
<(1, 0, 0) |   blue | 4 23 <- ((0, 0, 1), (2, 0, 0)) [50 %]>
<  Generic | purple | 3 25 <- ((1, 1, 1), (1, 1, 1)) [6.2 %]>
